mean,median,sd,max,min,day,AIS
5.681089744,4,5.627200744,35,0,29,AIS A
6.619791667,5,5.84227453,31,0,29,AIS B
5.660869565,4,5.623386843,31,0,29,AIS C
3.553299492,3,3.324837233,22,0,29,AIS D
6.046474359,4,5.79168223,39,0,30,AIS A
6.979166667,5,5.901422611,33,0,30,AIS B
6.043478261,4,5.700519097,32,0,30,AIS C
3.893401015,3,3.486681234,23,0,30,AIS D
6.084935897,4,5.801214573,39,0,31,AIS A
7.072916667,5,6.011759491,33,0,31,AIS B
6.113043478,4,5.752182373,33,0,31,AIS C
3.918781726,3,3.560483592,24,0,31,AIS D
6.182692308,4,5.90605602,39,0,32,AIS A
7.078125,5,6.070195027,34,0,32,AIS B
6.217391304,4,5.815628107,32,0,32,AIS C
4,3,3.653346244,24,0,32,AIS D
6.216346154,4,5.961055158,39,0,33,AIS A
7.171875,5,6.074290567,33,0,33,AIS B
6.208695652,4,5.798653137,32,0,33,AIS C
3.964467005,3,3.637076134,23,0,33,AIS D
6.22275641,4,5.959202773,39,0,34,AIS A
7.270833333,5.5,6.187268073,34,0,34,AIS B
6.273913043,4,5.86297072,33,0,34,AIS C
4.035532995,3,3.563384705,22,0,34,AIS D
6.838141026,5,5.971931705,39,0,35,AIS A
7.927083333,6,6.265913423,34,0,35,AIS B
6.856521739,5,5.94158802,34,0,35,AIS C
4.527918782,4,3.672218124,24,0,35,AIS D
6.850961538,5,6.034031288,39,0,36,AIS A
8.041666667,6,6.221759935,34,0,36,AIS B
6.960869565,5,5.965932332,35,0,36,AIS C
4.593908629,4,3.664162272,23,0,36,AIS D
6.889423077,5,6.093094029,39,0,37,AIS A
8.057291667,6,6.342068383,34,0,37,AIS B
6.943478261,5,5.97968366,33,0,37,AIS C
4.543147208,4,3.663724023,24,0,37,AIS D
6.959935897,5,6.099759014,40,0,38,AIS A
8.067708333,6,6.34691655,34,0,38,AIS B
6.97826087,5,6.053217883,33,0,38,AIS C
4.558375635,4,3.769221947,25,0,38,AIS D
7.019230769,5,6.182843922,41,0,39,AIS A
8.088541667,6,6.364781531,33,0,39,AIS B
7.02173913,5,6.171101586,36,0,39,AIS C
