"","mean","median","sd","max","min","day","ais1"
"1",4.22039473684211,4,2.65647819703557,15,1,1,"AIS A"
"2",5.18556701030928,5,3.0289896385825,17,1,2,"AIS A"
"3",5.98372093023256,5,3.41356339136007,26,1,3,"AIS A"
"4",6.40603248259861,6,3.3046634826902,21,1,4,"AIS A"
"5",6.49651972157773,6,3.50406567170007,22,1,5,"AIS A"
"6",6.64965197215777,6,3.52799351624801,25,1,6,"AIS A"
"7",6.95337995337995,6,3.60330442809927,25,1,7,"AIS A"
"8",7.05373831775701,7,3.5843022370065,23,1,8,"AIS A"
"9",7.05152224824356,7,3.47724545297446,23,1,9,"AIS A"
"10",7.0046511627907,7,3.5668738467835,23,1,10,"AIS A"
"11",7.24413145539906,7,3.8380786641353,22,1,11,"AIS A"
"12",7.05386416861827,7,3.8056546524375,26,1,12,"AIS A"
"13",7.04952830188679,7,3.80492399207731,23,1,13,"AIS A"
"14",7.00710900473934,7,3.69533913054708,21,1,14,"AIS A"
"15",6.79047619047619,6,3.64523486799802,18,1,15,"AIS A"
"16",6.81818181818182,6,3.78757966989893,19,1,16,"AIS A"
"17",6.6433734939759,6,3.69659043749517,20,1,17,"AIS A"
"18",6.44038929440389,6,3.6275670600155,20,1,18,"AIS A"
"19",6.53448275862069,6,3.71949062003677,20,1,19,"AIS A"
"20",6.42679900744417,6,3.76108331313695,21,1,20,"AIS A"
"21",6.31761786600496,6,3.79884275163112,23,1,21,"AIS A"
"22",6.10696517412935,6,3.59078916489319,20,1,22,"AIS A"
"23",6.0375,5,3.76517397841312,26,1,23,"AIS A"
"24",5.98740554156171,5,3.76686008745401,25,1,24,"AIS A"
"25",5.86802030456853,5,3.71885268356108,26,1,25,"AIS A"
"26",5.76903553299492,5,3.74505007780246,26,1,26,"AIS A"
"27",5.56632653061224,5,3.68597102254461,28,1,27,"AIS A"
"28",5.48469387755102,5,3.62285589232242,28,1,28,"AIS A"
"29",5.33163265306122,5,3.41760439987143,28,1,29,"AIS A"
"30",5.21025641025641,5,3.35812676327879,28,1,30,"AIS A"
"31",5.08717948717949,5,3.31043217358818,30,1,31,"AIS A"
"32",4.98449612403101,4,3.28440615240391,29,1,32,"AIS A"
"33",4.9405684754522,4,3.22218390320141,29,1,33,"AIS A"
"34",4.85416666666667,4,3.17292451162707,29,1,34,"AIS A"
"35",4.72323759791123,4,3.19385174467439,29,1,35,"AIS A"
"36",4.57662337662338,4,3.24277627099418,29,1,36,"AIS A"
"37",4.47244094488189,4,3.16849650129839,29,1,37,"AIS A"
"38",4.48412698412698,4,3.16496267882705,29,1,38,"AIS A"
"39",4.45040214477212,4,3.17937423666507,29,1,39,"AIS A"
"40",4.35579514824798,4,3.2085338237991,29,1,40,"AIS A"
"41",4.17307692307692,4,2.86908867853648,18,1,41,"AIS A"
"42",4.125,3,2.92209668304621,18,1,42,"AIS A"
"43",4.11647727272727,4,2.94306100308133,20,1,43,"AIS A"
"44",4.00573065902579,3,2.97788232761673,19,1,44,"AIS A"
"45",3.89766081871345,3,2.85187499605489,20,1,45,"AIS A"
"46",3.83630952380952,3,2.89105518298652,22,1,46,"AIS A"
"47",3.73795180722892,3,2.83919577525721,22,1,47,"AIS A"
"48",3.65151515151515,3,2.77905991103672,23,1,48,"AIS A"
"49",3.50157728706625,3,2.56759825428977,17,1,49,"AIS A"
"50",3.43689320388349,3,2.49546303739909,17,1,50,"AIS A"
"51",3.30392156862745,3,2.50686617383148,17,1,51,"AIS A"
"52",3.21694915254237,3,2.43005224758176,17,1,52,"AIS A"
"53",2.98251748251748,2,2.2841272181768,15,1,53,"AIS A"
"54",2.83333333333333,2,2.27275768820472,15,1,54,"AIS A"
"55",2.75581395348837,2,2.21738468926653,15,1,55,"AIS A"
"56",2.57627118644068,2,2.1924698194328,15,1,56,"AIS A"
"57",2.56459330143541,2,2.35684150444409,15,1,57,"AIS A"
"58",2.57894736842105,2,2.43707178504223,15,1,58,"AIS A"
"59",2.62878787878788,2,2.48784925978121,16,1,59,"AIS A"
"60",2.47222222222222,1,2.34205091580261,16,1,60,"AIS A"
"61",4.05660377358491,4,3.07855544508249,14,1,1,"AIS B"
"62",4.58823529411765,5,2.55234919075967,14,1,2,"AIS B"
"63",5.55263157894737,5,2.97722347987564,15,1,3,"AIS B"
"64",5.81578947368421,6,2.62658473467373,15,1,4,"AIS B"
"65",6.32,6,2.87655950652765,15,1,5,"AIS B"
"66",6.46052631578947,6,3.13024297022317,14,1,6,"AIS B"
"67",6.53947368421053,6,3.1344995963149,15,1,7,"AIS B"
"68",6.44,6,3.17183551599709,13,1,8,"AIS B"
"69",6.56756756756757,6,3.50764753966178,15,1,9,"AIS B"
"70",6.78378378378378,6,3.85088593354284,18,1,10,"AIS B"
"71",6.84931506849315,7,3.48277999144327,17,1,11,"AIS B"
"72",7.05714285714286,7,3.7912397661983,16,1,12,"AIS B"
"73",6.75,7,3.53395047647095,16,1,13,"AIS B"
"74",6.85294117647059,7,3.7267276105258,15,1,14,"AIS B"
"75",6.95588235294118,6.5,4.02022433297511,17,1,15,"AIS B"
"76",6.50724637681159,6,3.66470923493817,17,1,16,"AIS B"
"77",6.10144927536232,6,3.54029297365358,17,1,17,"AIS B"
"78",6.40579710144928,6,3.57819721524233,16,1,18,"AIS B"
