"","mean","median","sd","max","min","day","ais1"
"64",6.18421052631579,6,3.14413963352261,18,1,4,"AIS B"
"65",6.64,6,3.36371737733636,19,1,5,"AIS B"
"66",6.84210526315789,6,3.6112883447285,20,1,6,"AIS B"
"67",6.82894736842105,6,3.51145993529657,19,1,7,"AIS B"
"68",6.77333333333333,6,3.68552073160131,23,1,8,"AIS B"
"69",6.98648648648649,6,4.26676626210428,26,1,9,"AIS B"
"70",7.2027027027027,6.5,4.58102019423541,26,1,10,"AIS B"
"71",7.17808219178082,7,4.13434955838624,27,1,11,"AIS B"
"72",7.48571428571429,7,4.45181238827207,26,1,12,"AIS B"
"73",7.25,7,4.31026196523543,26,1,13,"AIS B"
"74",7.25,7,4.42980070977896,25,1,14,"AIS B"
"75",7.41176470588235,7,4.83221556711763,26,1,15,"AIS B"
"76",6.94202898550725,6,4.43874670298555,27,1,16,"AIS B"
"77",6.46376811594203,6,4.29630384970249,28,1,17,"AIS B"
"78",6.73913043478261,6,4.31022100536498,27,1,18,"AIS B"
"79",6.80597014925373,6,4.2719621705926,27,2,19,"AIS B"
"80",6.37142857142857,5.5,4.52423883764346,27,1,20,"AIS B"
"81",6.18840579710145,5,4.54155765685675,31,1,21,"AIS B"
"82",6.16176470588235,5,4.45411194933886,30,1,22,"AIS B"
"83",6.57352941176471,5.5,5.17835961022923,34,1,23,"AIS B"
"84",5.98550724637681,5,4.9571479989037,33,1,24,"AIS B"
"85",5.81159420289855,4,4.92077039137895,33,1,25,"AIS B"
"86",5.54411764705882,4,5.04142192548181,35,1,26,"AIS B"
"87",5.74626865671642,4,4.96455095342512,34,1,27,"AIS B"
"88",5.70149253731343,4,5.08418500179913,36,1,28,"AIS B"
"89",5.48484848484848,4,4.97452718817786,34,1,29,"AIS B"
"90",5.53846153846154,4,4.90241306359979,34,1,30,"AIS B"
"91",5.52307692307692,4,4.95008741181561,34,1,31,"AIS B"
"92",5.22727272727273,4,4.83193050938778,33,1,32,"AIS B"
"93",4.86363636363636,3.5,4.77456840944849,34,1,33,"AIS B"
"94",4.13636363636364,3,2.86026552633123,14,1,34,"AIS B"
"95",4.34375,3,2.97192551552714,16,1,35,"AIS B"
"96",4.24590163934426,4,2.99252255744724,17,1,36,"AIS B"
"97",4.18333333333333,3,3.15418294594609,20,1,37,"AIS B"
"98",4.11475409836066,4,2.66519768282291,14,1,38,"AIS B"
